id,textLength,patternLength,testType,kmpFound,naiveFound,kmpIterations,naiveIterations,kmpTimeNano,naiveTimeNano,speedup,iterationsReduction
80,7921,440,worst_case,true,true,1318,440,44500,38200,0,86,0,33
81,8020,381,worst_case,true,true,1141,381,21100,33100,1,57,0,33
82,8119,427,worst_case,true,true,1279,427,22500,38000,1,69,0,33
83,8218,304,worst_case,true,true,910,304,17300,28600,1,65,0,33
84,8317,756,contains,true,true,853,1147,55100,124700,2,26,1,34
85,8416,350,worst_case,true,true,1048,350,20000,32700,1,64,0,33
86,8515,327,worst_case,true,true,979,327,17900,30100,1,68,0,33
87,8614,297,not_contains,false,false,633,8620,162600,1445800,8,89,13,62
88,8713,670,contains,true,true,1000,3919,92600,374300,4,04,3,92
89,8812,314,not_contains,false,false,702,8837,463400,979000,2,11,12,59
90,8911,387,contains,true,true,544,2018,56500,211500,3,74,3,71
91,9010,1001,worst_case,true,true,3001,1001,70700,90900,1,29,0,33
92,9109,700,worst_case,true,true,2098,700,52500,73600,1,40,0,33
93,9208,354,contains,true,true,871,6858,145800,79900,0,55,7,87
94,9307,423,contains,true,true,900,6055,119600,73300,0,61,6,73
95,9406,587,not_contains,false,false,747,9148,192300,103200,0,54,12,25
96,9505,380,worst_case,true,true,1138,380,179500,4400,0,02,0,33
97,9604,457,worst_case,true,true,1369,457,35200,4900,0,14,0,33
98,9703,1212,contains,true,true,1806,8632,201500,108700,0,54,4,78
99,9802,490,worst_case,true,true,1468,490,36100,5500,0,15,0,33
100,9901,366,not_contains,false,false,790,9914,190000,108900,0,57,12,55
